file,problem,p,m,q,na,nb,nc,lb,ub
cyclic/cert_cyclic_q02_n01.pb.txt,cyclic_q02_n01,2,1,2,1,1,1,1,1
cyclic/cert_cyclic_q02_n02.pb.txt,cyclic_q02_n02,2,1,2,2,2,2,3,3
cyclic/cert_cyclic_q02_n03.pb.txt,cyclic_q02_n03,2,1,2,3,3,3,4,4
cyclic/cert_cyclic_q02_n04.pb.txt,cyclic_q02_n04,2,1,2,4,4,4,8,8
cyclic/cert_cyclic_q02_n05.pb.txt,cyclic_q02_n05,2,1,2,5,5,5,9,10
cyclic/cert_cyclic_q02_n06.pb.txt,cyclic_q02_n06,2,1,2,6,6,6,11,12
cyclic/cert_cyclic_q02_n07.pb.txt,cyclic_q02_n07,2,1,2,7,7,7,13,13
cyclic/cert_cyclic_q02_n08.pb.txt,cyclic_q02_n08,2,1,2,8,8,8,19,22
cyclic/cert_cyclic_q02_n09.pb.txt,cyclic_q02_n09,2,1,2,9,9,9,18,19
cyclic/cert_cyclic_q02_n10.pb.txt,cyclic_q02_n10,2,1,2,10,10,10,22,74
cyclic/cert_cyclic_q02_n11.pb.txt.gz,cyclic_q02_n11,2,1,2,11,11,11,27,-
cyclic/cert_cyclic_q03_n01.pb.txt,cyclic_q03_n01,3,1,3,1,1,1,1,-
cyclic/cert_cyclic_q03_n02.pb.txt,cyclic_q03_n02,3,1,3,2,2,2,2,-
cyclic/cert_cyclic_q03_n03.pb.txt,cyclic_q03_n03,3,1,3,3,3,3,5,-
cyclic/cert_cyclic_q03_n04.pb.txt,cyclic_q03_n04,3,1,3,4,4,4,5,-
cyclic/cert_cyclic_q03_n05.pb.txt,cyclic_q03_n05,3,1,3,5,5,5,9,-
cyclic/cert_cyclic_q03_n06.pb.txt,cyclic_q03_n06,3,1,3,6,6,6,10,-
cyclic/cert_cyclic_q03_n07.pb.txt,cyclic_q03_n07,3,1,3,7,7,7,13,-
cyclic/cert_cyclic_q03_n08.pb.txt,cyclic_q03_n08,3,1,3,8,8,8,11,-
cyclic/cert_cyclic_q03_n09.pb.txt,cyclic_q03_n09,3,1,3,9,9,9,19,-
cyclic/cert_cyclic_q04_n01.pb.txt,cyclic_q04_n01,2,2,4,1,1,1,1,-
cyclic/cert_cyclic_q04_n02.pb.txt,cyclic_q04_n02,2,2,4,2,2,2,3,-
cyclic/cert_cyclic_q04_n03.pb.txt,cyclic_q04_n03,2,2,4,3,3,3,3,-
cyclic/cert_cyclic_q04_n04.pb.txt,cyclic_q04_n04,2,2,4,4,4,4,7,-
cyclic/cert_cyclic_q04_n05.pb.txt,cyclic_q04_n05,2,2,4,5,5,5,7,-
cyclic/cert_cyclic_q04_n06.pb.txt,cyclic_q04_n06,2,2,4,6,6,6,9,-
cyclic/cert_cyclic_q04_n07.pb.txt,cyclic_q04_n07,2,2,4,7,7,7,11,-
cyclic/cert_cyclic_q04_n08.pb.txt,cyclic_q04_n08,2,2,4,8,8,8,16,-
cyclic/cert_cyclic_q05_n01.pb.txt,cyclic_q05_n01,5,1,5,1,1,1,1,-
cyclic/cert_cyclic_q05_n02.pb.txt,cyclic_q05_n02,5,1,5,2,2,2,2,-
cyclic/cert_cyclic_q05_n03.pb.txt,cyclic_q05_n03,5,1,5,3,3,3,4,-
cyclic/cert_cyclic_q05_n04.pb.txt,cyclic_q05_n04,5,1,5,4,4,4,4,-
cyclic/cert_cyclic_q05_n05.pb.txt,cyclic_q05_n05,5,1,5,5,5,5,9,-
