problem,p,m,q,n,lb,lb_ref,ub,ub_ref
full,2,1,2,1,1,trivial scalar multiplication,1,trivial scalar multiplication
full,2,1,2,2,3,"Fiduccia–Zalcstein (1977), linear lower bound; Bshouty–Kaminski (1990), Introduction (sharp interpolation regime); https://dl.acm.org/doi/10.1145/322003.322014; https://epubs.siam.org/doi/10.1137/0219029",3,"Bshouty–Kaminski (1990), Introduction (evaluation/interpolation for d<=q/2); https://epubs.siam.org/doi/10.1137/0219029"
full,2,1,2,3,6,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",6,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,2,1,2,4,9,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",9,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,2,1,2,5,13,"Bshouty–Kaminski (1990), Introduction (code-length lower bound); Grassl CodeTables binary [L,n,d>=n] bound (derived); https://epubs.siam.org/doi/10.1137/0219029; https://www.codetables.de/",15,"Ballet–Bonnecaze–Pacifico (2021), Corollary 3 and Proposition 3 (derived optimized closed-point interpolation/CRT); https://arxiv.org/pdf/2007.16082"
full,2,1,2,6,15,"Bshouty–Kaminski (1990), Introduction (code-length lower bound); Grassl CodeTables binary [L,n,d>=n] bound (derived); https://epubs.siam.org/doi/10.1137/0219029; https://www.codetables.de/",18,"Ballet–Bonnecaze–Pacifico (2021), Corollary 3 and Proposition 3 (derived optimized closed-point interpolation/CRT); https://arxiv.org/pdf/2007.16082"
full,2,1,2,7,18,"Bshouty–Kaminski (1990), Introduction (code-length lower bound); Grassl CodeTables binary [L,n,d>=n] bound (derived); https://epubs.siam.org/doi/10.1137/0219029; https://www.codetables.de/",24,"Ballet–Bonnecaze–Pacifico (2021), Corollary 3 and Proposition 3 (derived optimized closed-point interpolation/CRT); https://arxiv.org/pdf/2007.16082"
full,2,1,2,8,20,"Bshouty–Kaminski (1990), Introduction (code-length lower bound); Grassl CodeTables binary [L,n,d>=n] bound (derived); https://epubs.siam.org/doi/10.1137/0219029; https://www.codetables.de/",27,Karatsuba recursion after zero-padding (derived)
full,2,1,2,9,26,"Bshouty–Kaminski (1990), Introduction (code-length lower bound); Grassl CodeTables binary [L,n,d>=n] bound (derived); https://epubs.siam.org/doi/10.1137/0219029; https://www.codetables.de/",33,"Ballet–Bonnecaze–Pacifico (2021), Corollary 3 and Proposition 3 (derived optimized closed-point interpolation/CRT); https://arxiv.org/pdf/2007.16082"
full,2,1,2,10,28,"Bshouty–Kaminski (1990), Introduction (code-length lower bound); Grassl CodeTables binary [L,n,d>=n] bound (derived); https://epubs.siam.org/doi/10.1137/0219029; https://www.codetables.de/",36,"Ballet–Bonnecaze–Pacifico (2021), Corollary 3 and Proposition 3 (derived optimized closed-point interpolation/CRT); https://arxiv.org/pdf/2007.16082"
full,2,1,2,11,31,"Bshouty–Kaminski (1990), Introduction (code-length lower bound); Grassl CodeTables binary [L,n,d>=n] bound (derived); https://epubs.siam.org/doi/10.1137/0219029; https://www.codetables.de/",42,"Ballet–Bonnecaze–Pacifico (2021), Corollary 3 and Proposition 3 (derived optimized closed-point interpolation/CRT); https://arxiv.org/pdf/2007.16082"
full,3,1,3,1,1,trivial scalar multiplication,1,trivial scalar multiplication
full,3,1,3,2,3,"Fiduccia–Zalcstein (1977), linear lower bound; Bshouty–Kaminski (1990), Introduction (sharp interpolation regime); https://dl.acm.org/doi/10.1145/322003.322014; https://epubs.siam.org/doi/10.1137/0219029",3,"Bshouty–Kaminski (1990), Introduction (evaluation/interpolation for d<=q/2); https://epubs.siam.org/doi/10.1137/0219029"
full,3,1,3,3,6,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",6,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
full,3,1,3,4,9,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029",9,"Bshouty–Kaminski (1990), Theorem 2 and Appendix 2; https://epubs.siam.org/doi/10.1137/0219029"
