problem,p,m,q,n,lb,lb_ref,ub,ub_ref
full,2,1,2,1,1,Winograd (1977),1,Winograd (1977)
cyclic,2,1,2,1,1,Alder-Strassen (1981),1,Lempel-Winograd (1983)
negacyclic,2,1,2,1,1,Alder-Strassen (1981),1,Lempel-Winograd (1983)
truncated,2,1,2,1,1,Alder-Strassen (1981),1,Winograd (1977)
extfield,2,1,2,1,1,Winograd (1977),1,Ballet et al. (2021)
full,2,1,2,2,3,Winograd (1977),3,Winograd (1977)
cyclic,2,1,2,2,3,Alder-Strassen (1981),3,Lempel-Winograd (1983)
negacyclic,2,1,2,2,3,Alder-Strassen (1981),3,Lempel-Winograd (1983)
truncated,2,1,2,2,3,Alder-Strassen (1981),3,Winograd (1977)
extfield,2,1,2,2,3,Winograd (1977),3,Ballet et al. (2021)
full,2,1,2,3,6,Kaminski & Bshouty (1989),6,Kaminski & Bshouty (1989)
cyclic,2,1,2,3,4,Alder-Strassen (1981),4,Lempel-Winograd (1983)
negacyclic,2,1,2,3,4,Alder-Strassen (1981),4,Lempel-Winograd (1983)
truncated,2,1,2,3,5,Alder-Strassen (1981),6,Kaminski & Bshouty (1989)
extfield,2,1,2,3,5,Winograd (1977),6,Kaminski & Bshouty (1989)
full,2,1,2,4,9,Kaminski & Bshouty (1989),9,Kaminski & Bshouty (1989)
cyclic,2,1,2,4,7,Alder-Strassen (1981),9,Kaminski & Bshouty (1989)
negacyclic,2,1,2,4,7,Alder-Strassen (1981),9,Kaminski & Bshouty (1989)
truncated,2,1,2,4,7,Alder-Strassen (1981),9,Kaminski & Bshouty (1989)
extfield,2,1,2,4,7,Winograd (1977),9,Kaminski & Bshouty (1989)
full,2,1,2,5,9,Winograd (1977),,
cyclic,2,1,2,5,8,Alder-Strassen (1981),,
negacyclic,2,1,2,5,8,Alder-Strassen (1981),,
truncated,2,1,2,5,9,Alder-Strassen (1981),,
extfield,2,1,2,5,9,Winograd (1977),,
full,2,1,2,6,11,Winograd (1977),,
cyclic,2,1,2,6,10,Alder-Strassen (1981),,
negacyclic,2,1,2,6,10,Alder-Strassen (1981),,
truncated,2,1,2,6,11,Alder-Strassen (1981),,
extfield,2,1,2,6,11,Winograd (1977),,
full,2,1,2,7,13,Winograd (1977),,
cyclic,2,1,2,7,11,Alder-Strassen (1981),,
negacyclic,2,1,2,7,11,Alder-Strassen (1981),,
truncated,2,1,2,7,13,Alder-Strassen (1981),,
extfield,2,1,2,7,13,Winograd (1977),,
full,2,1,2,8,15,Winograd (1977),,
cyclic,2,1,2,8,15,Alder-Strassen (1981),,
negacyclic,2,1,2,8,15,Alder-Strassen (1981),,
truncated,2,1,2,8,15,Alder-Strassen (1981),,
extfield,2,1,2,8,15,Winograd (1977),,
full,2,1,2,9,17,Winograd (1977),,
cyclic,2,1,2,9,15,Alder-Strassen (1981),,
negacyclic,2,1,2,9,15,Alder-Strassen (1981),,
truncated,2,1,2,9,17,Alder-Strassen (1981),,
extfield,2,1,2,9,17,Winograd (1977),,
full,2,1,2,10,19,Winograd (1977),,
cyclic,2,1,2,10,18,Alder-Strassen (1981),,
negacyclic,2,1,2,10,18,Alder-Strassen (1981),,
truncated,2,1,2,10,19,Alder-Strassen (1981),,
extfield,2,1,2,10,19,Winograd (1977),,
full,2,1,2,11,21,Winograd (1977),,
cyclic,2,1,2,11,20,Alder-Strassen (1981),,
negacyclic,2,1,2,11,20,Alder-Strassen (1981),,
truncated,2,1,2,11,21,Alder-Strassen (1981),,
extfield,2,1,2,11,21,Winograd (1977),,
full,2,2,4,1,1,Winograd (1977),1,Winograd (1977)
cyclic,2,2,4,1,1,Alder-Strassen (1981),1,Lempel-Winograd (1983)
negacyclic,2,2,4,1,1,Alder-Strassen (1981),1,Lempel-Winograd (1983)
truncated,2,2,4,1,1,Alder-Strassen (1981),1,Winograd (1977)
extfield,2,2,4,1,1,Winograd (1977),1,Ballet et al. (2021)
full,2,2,4,2,3,Winograd (1977),3,Winograd (1977)
cyclic,2,2,4,2,3,Alder-Strassen (1981),3,Lempel-Winograd (1983)
negacyclic,2,2,4,2,3,Alder-Strassen (1981),3,Lempel-Winograd (1983)
truncated,2,2,4,2,3,Alder-Strassen (1981),3,Winograd (1977)
extfield,2,2,4,2,3,Winograd (1977),3,Ballet et al. (2021)
full,2,2,4,3,5,Winograd (1977),5,Winograd (1977)
cyclic,2,2,4,3,3,Alder-Strassen (1981),3,Lempel-Winograd (1983)
negacyclic,2,2,4,3,3,Alder-Strassen (1981),3,Lempel-Winograd (1983)
truncated,2,2,4,3,5,Alder-Strassen (1981),5,Winograd (1977)
extfield,2,2,4,3,5,Winograd (1977),5,Ballet et al. (2021)
full,2,2,4,4,8,Kaminski & Bshouty (1989),8,Kaminski & Bshouty (1989)
cyclic,2,2,4,4,7,Alder-Strassen (1981),8,Kaminski & Bshouty (1989)
negacyclic,2,2,4,4,7,Alder-Strassen (1981),8,Kaminski & Bshouty (1989)
truncated,2,2,4,4,7,Alder-Strassen (1981),8,Kaminski & Bshouty (1989)
extfield,2,2,4,4,7,Winograd (1977),8,Kaminski & Bshouty (1989)
full,2,2,4,5,11,Kaminski & Bshouty (1989),11,Kaminski & Bshouty (1989)
cyclic,2,2,4,5,7,Alder-Strassen (1981),7,Lempel-Winograd (1983)
negacyclic,2,2,4,5,7,Alder-Strassen (1981),7,Lempel-Winograd (1983)
truncated,2,2,4,5,9,Alder-Strassen (1981),11,Kaminski & Bshouty (1989)
extfield,2,2,4,5,9,Winograd (1977),11,Kaminski & Bshouty (1989)
full,2,2,4,6,14,Kaminski & Bshouty (1989),14,Kaminski & Bshouty (1989)
cyclic,2,2,4,6,9,Alder-Strassen (1981),9,Lempel-Winograd (1983)
negacyclic,2,2,4,6,9,Alder-Strassen (1981),9,Lempel-Winograd (1983)
truncated,2,2,4,6,11,Alder-Strassen (1981),14,Kaminski & Bshouty (1989)
extfield,2,2,4,6,11,Winograd (1977),14,Kaminski & Bshouty (1989)
full,2,2,4,7,13,Winograd (1977),,
cyclic,2,2,4,7,11,Alder-Strassen (1981),11,Lempel-Winograd (1983)
negacyclic,2,2,4,7,11,Alder-Strassen (1981),11,Lempel-Winograd (1983)
truncated,2,2,4,7,13,Alder-Strassen (1981),,
extfield,2,2,4,7,13,Winograd (1977),,
full,2,2,4,8,15,Winograd (1977),,
cyclic,2,2,4,8,15,Alder-Strassen (1981),,
negacyclic,2,2,4,8,15,Alder-Strassen (1981),,
truncated,2,2,4,8,15,Alder-Strassen (1981),,
extfield,2,2,4,8,15,Winograd (1977),,
full,2,2,4,9,17,Winograd (1977),,
cyclic,2,2,4,9,13,Alder-Strassen (1981),13,Lempel-Winograd (1983)
negacyclic,2,2,4,9,13,Alder-Strassen (1981),13,Lempel-Winograd (1983)
truncated,2,2,4,9,17,Alder-Strassen (1981),,
extfield,2,2,4,9,17,Winograd (1977),,
full,2,2,4,10,19,Winograd (1977),,
cyclic,2,2,4,10,17,Alder-Strassen (1981),,
negacyclic,2,2,4,10,17,Alder-Strassen (1981),,
truncated,2,2,4,10,19,Alder-Strassen (1981),,
extfield,2,2,4,10,19,Winograd (1977),,
full,2,2,4,11,21,Winograd (1977),,
cyclic,2,2,4,11,19,Alder-Strassen (1981),,
negacyclic,2,2,4,11,19,Alder-Strassen (1981),,
truncated,2,2,4,11,21,Alder-Strassen (1981),,
extfield,2,2,4,11,21,Winograd (1977),,
full,2,3,8,1,1,Winograd (1977),1,Winograd (1977)
cyclic,2,3,8,1,1,Alder-Strassen (1981),1,Lempel-Winograd (1983)
negacyclic,2,3,8,1,1,Alder-Strassen (1981),1,Lempel-Winograd (1983)
truncated,2,3,8,1,1,Alder-Strassen (1981),1,Winograd (1977)
extfield,2,3,8,1,1,Winograd (1977),1,Ballet et al. (2021)
full,2,3,8,2,3,Winograd (1977),3,Winograd (1977)
cyclic,2,3,8,2,3,Alder-Strassen (1981),3,Lempel-Winograd (1983)
negacyclic,2,3,8,2,3,Alder-Strassen (1981),3,Lempel-Winograd (1983)
